id,name,year_began,year_ended,notes,url,publisher_id
1, Åhlén & Åkerlund,NULL,NULL,NULL,NULL,320
2, Brian Babendererde,2007,NULL,NULL,http://www.twilighttangents.com/,5986
3, Dečje novine,NULL,NULL,NULL,NULL,6760
4, DrMaster Publications Inc.,2004,NULL,NULL,NULL,5948
5, L'Association,NULL,NULL,NULL,NULL,5655
6, L.G.P. L.L.C.,2004,NULL,NULL,NULL,6972
7, Salleck Publications; édition B.D.,NULL,NULL,NULL,NULL,949
8,!,NULL,NULL,NULL,NULL,2051
9,Impact Comics,1991,1993,Used for the MLJ superheroes that DC licensed from Archie.,NULL,54
10,!t [it books],NULL,NULL,An imprint of HarperCollins Publishers; URL listed under brand mark: YourItList.com,http://www.harpercollins.com/imprints/index.aspx?imprintid=517983,1171
11,(!) & Wormgod,2010,2010,NULL,http://www.wormgod.net/,7789
12,100 % Fusion,2012,NULL,Lancé en 2008 le label Fusion Comics était commun aux Editions Soleil et Panini. En 2010 elles se séparent. Panini reprend les séries sous le label 100 % Fusion en 2012.,NULL,4475
13,12-Gauge,2009,NULL,NULL,NULL,5893
15,12bis,NULL,NULL,NULL,NULL,5769
16,1906 - 2006 COOP litt ditt i 100 år,NULL,NULL,NULL,NULL,6551
17,1ok; Zenescope,2012,NULL,NULL,NULL,3197
18,1st Amendment Publishing,NULL,NULL,NULL,NULL,3045
19,2-D Graphics,NULL,NULL,NULL,NULL,3121
22,2000 A.D.,1991,1991,NULL,NULL,517
23,2000 A.D. Books,NULL,NULL,NULL,NULL,608
24,2000 A.D. Presents,1988,NULL,NULL,NULL,608
25,2000 AD,2001,NULL,NULL,http://www.2000adonline.com/,2020
26,2000 AD,NULL,NULL,NULL,NULL,543
27,2000 AD Germany,NULL,NULL,NULL,NULL,5732
28,2000 AD; Fleetway Quality,NULL,NULL,NULL,NULL,517
31,2099,1995,1996,NULL,NULL,78
33,Spider-Man Group,1995,1995,NULL,NULL,78
34,215 Ink.,2009,NULL,NULL,NULL,7523
35,3 ,NULL,NULL,NULL,NULL,5013
36,3 Boys Productions,NULL,NULL,NULL,NULL,3081
37,3 Finger Prints,NULL,NULL,NULL,NULL,5013
38,3-D Adventure Comics,1986,NULL,NULL,NULL,7160
39,3D Cosmic Publications,1982,1982,NULL,NULL,433
40,4Winds Publishing Group,1988,1990,NULL,NULL,596
41,5-D Comics,NULL,NULL,NULL,NULL,5947
42,515Comics.com,2012,NULL,NULL,NULL,8780
43,666 Comics,1997,1997,NULL,NULL,3200
44,7 Monos,NULL,NULL,NULL,NULL,4872
46,8 Ball Press,1990,1990,NULL,NULL,5991
47,803 Studios,2004,NULL,NULL,http://www.803studios.net/,6937
48,9th Circle Studios,1996,1996,NULL,NULL,840
49,9th; Cinebook The 9th Art Publisher,NULL,NULL,NULL,NULL,4266
51,:01 First Second,2006,NULL,NULL,NULL,2996
52,A,NULL,NULL,NULL,NULL,7544
53,A,NULL,NULL,NULL,NULL,1209
54,Arcadia,NULL,NULL,NULL,NULL,5691
56,A,NULL,NULL,NULL,NULL,1563
58,A,1989,1989,NULL,NULL,506
59,A,NULL,NULL,NULL,NULL,8263
60,A,NULL,NULL,"a highly-stylized ""A"" with the crossbar formed by a small diamond shape and the left side stroke continuing to form a loop behind the letter.",NULL,4580
61,a,NULL,NULL,NULL,NULL,164
63,A 2000 AD Production,1988,1991,NULL,NULL,608
64,A Aksoy Yayincilik,NULL,NULL,NULL,NULL,6563
65,A Aller Press,NULL,NULL,NULL,NULL,1209
66,A Allers,NULL,NULL,NULL,NULL,1563
67,A Allers' blad,NULL,NULL,NULL,NULL,1563
68,A Alpha Productions,NULL,NULL,NULL,NULL,725
70,A Atlantic,NULL,NULL,NULL,NULL,1079
71,A B Publication,1947,1947,Letter B is larger than rest of text.,NULL,2582
72,A Ballantine Book,NULL,NULL,Used at least during 1970.,NULL,251
73,A Bantam Book,NULL,NULL,also includes silhouette drawing of a rooster,NULL,1849
74,A BC Basement Comic,NULL,NULL,NULL,NULL,728
75,A BC Basement Comic; Amryl,NULL,NULL,NULL,NULL,728
76,A BCSI Publication,NULL,NULL,NULL,NULL,510
77,A Berkley Book,NULL,NULL,NULL,NULL,1854
78,A Birch Control Production,NULL,NULL,NULL,NULL,6267
79,Blind Bat,NULL,NULL,NULL,NULL,4468
80,A Blue Star Comic,1947,1947,This brand was used on one-shots produced by The K. G. Murray Publishing Company at the time of its earliest comics publication.,NULL,270
81,A Borderland Book,1996,1996,NULL,NULL,749
82,A Byron Preiss Book; Bantam Spectra Books,NULL,NULL,NULL,NULL,700
83,A Cambridge House Book,1945,1945,NULL,NULL,152
84,A Capitol Publication,1953,1953,Picture of the Capitol building with the words of the brand superimposed.,NULL,50
85,A Cardinal Edition [with image of a cardinal]],NULL,NULL,NULL,NULL,690
86,A Castle & Key Publication,2011,NULL,NULL,NULL,7485
87,A Century Publication,1948,1950,"Words ""A Century Publication"" in a circle around a UK price for the book.  Used (exclusively?) on comics published in Canada but distributed in the UK.",NULL,223
92,A Charlton Publication,1955,1958,NULL,NULL,7488
95,A Columbia Comic Book,1941,1941,NULL,NULL,86
96,A Comic Magazine Geo. A. Pflaum Publisher Inc.,NULL,NULL,NULL,NULL,170
97,A Comics Interview Publication,NULL,NULL,"The words ""A Comics Interview Publication"" inside a word ballon.",NULL,487
98,A Crossen Publication,NULL,NULL,NULL,NULL,149
99,A Daily Mirror Book,NULL,NULL,NULL,NULL,3975
100,A Dandy Comic,1956,1956,NULL,NULL,77
101,A Dargaud Presentation,NULL,NULL,NULL,NULL,3225
103,A Darling Magazine,1949,1951,NULL,NULL,71
104,A David C. Cook Weekly,NULL,NULL,NULL,NULL,1886
110,A Dell Comic,1948,1951,"Emblem has ""Dell"" in the center of a square made up of the words ""A Dell Comic"" running horizontally and vertically. This is an overprint with the background colors showing through. Reprinted from American Dell comics.",NULL,2164
112,A Dell Magazine,1948,NULL,Same emblem as used on the Dell comics the company reprinted for Canadian distribution. ,NULL,2164
115,A Dependable Publication,NULL,NULL,NULL,NULL,3587
116,A Dime Comic,1946,1946,Appeared on Dime Comics but definitely as a mark distinct from the title.,NULL,77
122,A Farm,NULL,NULL,NULL,NULL,6894
123,Farrell,1951,1958,NULL,NULL,226
126,A Fawcett Columbine Book,1987,1987,NULL,NULL,2302
127,A Fawcett Crest Book,NULL,NULL,NULL,NULL,1868
129,A Fawcett Gold Medal Book,NULL,NULL,NULL,NULL,1868
140,A Fine Line,1997,1999,NULL,NULL,885
141,A Fireside Book,NULL,NULL,NULL,NULL,659
144,A Fleetway Annual,1978,1990,NULL,NULL,608
145,A Fleetway Library,NULL,NULL,Rather than create a new brand Phillips used the old IPC logo that had been in use since the early 1960s.,NULL,8811
146,Fleetway,1960,1985,NULL,NULL,1946
147,A Fleetway Library,NULL,NULL,NULL,NULL,608
148,A Fleetway Super Library,NULL,NULL,NULL,NULL,608
149,Four Star,NULL,NULL,NULL,NULL,140
152,Fox,1939,1951,NULL,NULL,74
157,A Frank Johnson Publication,NULL,NULL,NULL,NULL,8031
158,A Frew Publication,NULL,NULL,NULL,NULL,2022
160,A Good Comic,1955,1955,Brand used only on ACG American Comics Group's Modern Store Publications in 1955.,NULL,185
161,A Good Kirby Comic,NULL,NULL,NULL,NULL,2790
