id,name
1,"""Ace of Spades"""
2,"""Ace"" Ryan"
3,"""Alabama"""
4,"""All Thumbs"" McGurk"
5,"""Baby Face"" Adolph"
6,"""Bad News"" Haley"
7,"""Baldy"" Shaw"
8,"""Band"" members"
9,"""Battlin' Buzz"""
10,"""Betcha"" Benny"
11,"""Big Boy"" Chaney"
12,"""Big Guy"" Markham"
13,"""Big Jim"" Hawkins"
14,"""Big John"""
15,"""Big John"" Waller"
16,"""Big Shoulders"" Samson"
17,"""Big Steve"""
18,"""Big Tiny"" Norman"
19,"""Black Hood"""
20,"""Black Jack"" Benson"
21,"""Blast"" Hess"
22,"""Blubber"""
23,"""Bomb Baby"" Sathan"
24,"""Bone Crusher"" Wilson"
25,"""Bongo"" Jones"
26,"""Boss"" Sarpo"
27,"""Boss"" Williams"
28,"""Brain"" Storms"
29,"""Brains Borelli"""
30,"""Bugs"" Norton"
31,"""Bulk"" Bane"
32,"""Bull"" Dawson"
33,"""Burma"" Burns"
34,"""Busy"" Armonk"
35,"""Busy"" Arnold"
36,"""Cactus"""
37,"""Campy"""
38,"""Cat"" Harris"
39,"""Charon"""
40,"""Cheeks"" Chadwick"
41,"""Clutch"" John Widdles"
42,"""Crafty"" Cal Clate"
43,"""Crusher"" McCoy"
44,"""Cue"" Bonomo"
45,"""Cut"" Famon"
46,"""Daily Tattle"" reporter"
47,"""Deadline"" Dawson"
48,"""Deuces"" Wilde"
49,"""Diamond Dan"" Carson"
50,"""Diamond"" Jack Gillian"
51,"""Dirk"" Fleming"
52,"""Dizzy"" Lumpo"
53,"""Doc"" Cornet"
54,"""Duke"""
55,"""Eagle Eyes"" Connor"
56,"""Ears"" McSorley"
57,"""Eats"" Daly"
58,"""Emerald"" Ed Reilly"
59,"""Emperor of America"""
60,"""Fan"" Gregory"
61,"""Faro"" Mike"
62,"""Fat Sam"" Jackel"
63,"""Fin"" Gonzy"
64,"""Fingers"" Sloan"
65,"""Fish Hook"" Finn"
66,"""Five-Chins"" Chuck"
67,"""Frog"" Fowler"
68,"""Fuehrer"" Von Brundt"
69,"""Fuzzy Wuzzies"""
70,"""Gallows"" Gallagher"
71,"""Gentleman Jack"" Jarvis"
72,"""Getaway"" George"
73,"""Gimpy"" Malone"
74,"""Hefty"" Martin"
75,"""Highwire"" Joe Foster"
76,"""Honest Herman"""
77,"""Honest John"" Fox"
78,"""Hook"" Tebbs and his men"
79,"""Hunky"" Pollak"
80,"""Jet"" Fuller"
81,"""Jolly"" Roger"
82,"""Junky"" Doolb"
83,"""Killer"" Corsino"
84,"""Killer"" Diller"
85,"""Killer"" Katz"
86,"""Killer"" Maroni"
87,"""Killer"" McPanzee"
88,"""Killer"" Pete"
89,"""Killer"" Skehan"
90,"""Kings of Darkness"""
91,"""Lazybones"" Bulldog"
92,"""Lefty"" Wright"
93,"""London"" Jack"
94,"""Long Shot"" Louis Lupo"
95,"""Matches"" Birken"
96,"""Mauler"" Miller"
97,"""Mile Away"" Morgan"
98,"""Money"" Lowy"
99,"""Monkey"" Macy"
100,"""Mouse"" Docker"
101,"""Mozart"" Deegan"
102,"""Mr. Milktoast"""
103,"""Mugsy"" the Mug"
104,"""Muscle"" Famon"
105,"""Napoleon"""
106,"""News"" Blake"
107,"""Odds"" Henry"
108,"""Odds"" Renaldi"
109,"""Once More"" Charlie"
110,"""One Round"" Rickey"
111,"""Padre"" Desoto"
112,"""Patch"""
113,"""PeeWee"" McGee"
114,"""Pinky"" Dallas"
115,"""Pinky"" the Punk"
116,"""Pipe"" Rickett"
117,"""Pixie"" Panto"
118,"""Pockets"""
119,"""Pop"" Whistler"
120,"""Rat"" Halloran"
121,"""Rats"" Poogle"
122,"""Red"" Larson"
123,"""Red"" Skelton"
124,"""Ribs"" Miley"
125,"""Rock"" Dawson"
126,"""Rock"" Zirko"
127,"""Rubber-Man"" Nevil"
128,"""Ruby"" Willie Crandall"
129,"""Runty"" Becker"
130,"""Sadie"" LaSmooth"
131,"""Sagebrush"""
132,"""Sapphire Slim"" Spears"
133,"""Satan"""
134,"""Scar"" Jorgis"
135,"""Scarface"" Dan Nolan"
136,"""Schultz"" Forbes"
137,"""Scoop"" Carter"
138,"""Scoop"" Scuttle"
139,"""Slick"" Martin"
140,"""Slick"" Panzer"
141,"""Slip"" Rodney"
142,"""Slit"" Kincaid"
143,"""Slow-Motion"" Jones"
144,"""Slug"" Fest"
145,"""Slug"" Kafey"
146,"""Slugger"" Barnes"
147,"""Slugger"" Dunn"
148,"""Slugger"" Slade"
149,"""Smokey"" Cole"
150,"""Snake"" Acton"
151,"""Snakey"" Scarlotti"
152,"""Soapy"" Joe"
153,"""Socks"" Slade"
154,"""Sparky"" Waters"
155,"""Speed"" Centaur"
156,"""Sphinx"" Henchel"
157,"""Steel"" McCarthy"
158,"""Sugar-Chile"" Robinson"
159,"""Sure Thing"" Smiley"
160,"""The Big Boss"""
161,"""The Boss"""
162,"""The Boss"" and his zombies"
163,"""The Great Ear"""
164,"""The Great Eye"""
165,"""The Great Mouth"""
166,"""The Indian"""
167,"""The Spectre"""
168,"""The Trustees of Hate"""
169,"""Three Finger"" Jack Schack"
170,"""Tiger"" Tom Griffin"
171,"""Tiny Tim"" Carver"
172,"""Tough Tony"" Scarlotti"
173,"""Trigger"" Holt"
174,"""Trigger"" Joe Travers"
175,"""Truck"""
176,"""Truthful"" Smith"
177,"""Twisty"" Herman"
178,"""Uncle Billy"" Tilghman"
179,"""Unk"" Hiram McBean"
180,"""Whittling"" Willie Binger"
181,"""Yellow-Eyes"" Janus"
182,"""Yoyo"" Wally"
183,"""her highness"""
184,#711
185,'Flash' Lightning
186,'Gunner' Rod Barlow
187,'Lisha
188,'Nmzani
189,'Skip' Sheridan
190,'Suicide Smith
191,'Tater Tomkins
192,'Upan' Atem
193,10 Percent
194,10-Q
195,10-year-old boy
196,13
197,1st Baron of Vyberg
198,2 boys
199,2 gangsters
200,2 little boys
201,2 witches
202,2-R
203,2nd Chief Assistant to the 3rd Deputy Fiend
204,3 Dimwits
205,3 Monkey-Teers
206,3 crash victims: Connie Courtney
207,3 other unidentifiable members
208,3rd Mate Ruston
209,4 mummies
210,4-L
211,4-eyed man
212,4K-11
213,500-year-old man
214,7 Indians
215,711
216,"A ""What if"" story"
217,"A ""town boss"""
218,A British ambassador
219,A Buddhist priest
220,A Chinese man
221,A Doctor
222,A Dutchman
223,A Gavonian spy
224,A German field marshall
225,A Grand Councilman and Brenda
226,A Groman Caeser
227,A Group of Puritans
228,A Gypsy chief
229,A Japanese Captain
230,A Japanese scientist
231,A Japanese spy ring
232,A Jovian giant
233,A Maharajah
234,A Martian Cyclops
235,A Mayan cult
236,A Nazi
237,A Nazi commandant
238,A Nazi doctor
239,A Nazi killer
240,A Nazi spy
241,A Nazi spy Herman Goering Josef Goebbels the Nazis
242,A Nazi spy ring
243,A Professor
244,A Professor's Daughter
245,A Rajah and his thirty-ninth wife
246,A Ringmaster
247,A Robot
248,A Senator
249,A Subterranean Race
250,A Tibetian
251,A Triton
252,A Willard Farnum impostor
253,A Winston Churchill double
254,A bad guy
255,A band of Arab slavers
256,A band of anarchists
257,A band of dwarfs
258,A band of invaders
259,A band of ivory hunters
260,A band of pirates
261,A band of slavers
262,A band of thieves and their chief
263,A barker and other fifth columnists
264,A bear
265,A bookie
266,A bund and their leader
267,A butler
268,A caretaker's ghost
269,A carnival spieler
270,A cat-headed creature
271,A caveman
272,A commander
273,A counterfeiter
274,A counterfeiting gang
275,A dam guard
276,A dancing bear
277,A dentist
278,A dictator
279,A district attorney
280,A doctor
281,A dog
282,A fake ambassador
283,A fire inspector
284,A first mate
285,A flower-man
286,A game warden
287,A gang of Fifth Columnists
288,A gang of German spies
289,A gang of Martians
290,A gang of Mexican rustlers
291,A gang of Nazi spies
292,A gang of arsonists
293,A gang of bundists
294,A gang of car thieves
295,A gang of con men
296,A gang of counterfeiters
297,A gang of crooks
298,A gang of diamond smugglers
299,A gang of extorionists
300,A gang of fifth columnists
301,A gang of gamblers
302,A gang of pirates
303,A gang of poachers
304,A gang of saboteurs
305,A gang of spies
306,A gang of thieves
307,A gang of tire thieves
308,A gang of traitors
309,A general
310,A genie
311,A ghost
312,A ghost werewolf
313,A giant
314,A giant amoeba
315,A giant gorilla
316,A giant man-ape
317,A giant of Gro
318,A girl
319,A girl engineer
320,A girl ranch owner
321,A gorilla
322,A grand lama
323,A group of cannibals
324,A group of spies
325,A gypsy girl
326,A husband-and-wife murder team
327,A hypnotist
328,A killer snowman
329,A lady pirate
330,A lady pirate and her band
331,A lawyer
332,A living dummy
333,A mad doctor
334,A mad scientist
335,A mad scientist and hissistant
336,A magician
337,A manager and a trainer
338,A maniac
339,A mobile fungus and an old prospector
340,A monkey
341,A monster
342,A monster in Chet Edson's body
343,A movie director
344,A murderer
345,A murderess
346,A pharoah
347,A phony C. O.
348,A phony major
349,A priestess
350,A princess
351,A prison warden
352,A professor
353,A prophet
354,A race of Amazons
355,A race of undersea people
356,A racketeer
357,A reckless driver
358,A registrar
359,A reporter
360,A robot
361,A scientist
362,A sheik
363,A sheriff
364,A skeletal fiddler
365,A slaver and his daughter
366,A slaver and the Ki-Wani tribe
367,A sniper
368,A spy
369,A spy Percy
370,A spy ring
371,A thief
372,A tribe of Amazons
373,A tribe of aliens
374,A tribe of cannibals
375,A tribe of cavemen
376,A tribe of desert men
377,A tribe of miniature men
378,A tribe of savages
379,A tribe of slavers
380,A tribe of winged people
381,A tyrant
382,A tyrant of Mysto
383,A veteran
384,A were-dog
385,A werewolf from Pluto
386,A whale
387,A witch
388,A witch doctor
389,A witch-cult
390,A'bito
391,A-X
392,A. Biddle
393,A. Bigge Jinx
394,A. Bookworm
395,A. Daniel Durst
396,A. G.
397,A. H. Thor
398,A. Habius Corpus
399,A. Himmled
400,A. Hubbard
401,A. J. Raffles
402,A. Mutt
403,A. Smithson Jones
404,A. Swan
405,A. V. Keith
406,A. Williams
407,A.A. Atlas
408,ALice Grant
409,Aaahgg
410,Aaron Burr
411,Aaron Moore
412,Aavon
413,Ab
414,Ab Flint
415,Ab Waltin
416,Ab and Rap
417,Ab-Ah-Ner
418,Aba Cadabra
419,Aba Raja
420,Abacus Rackeet
421,Abaraxx
422,Abazec
423,Abazec's gang
424,Abba
425,Abbe Faria
426,Abbie
427,Abbie Green
428,Abbot
429,Abbot of Chak-Ku
430,Abbott and Costello
431,Abdah
432,Abdola
433,Abdul
434,Abdul Assam
435,Abdul Ben Hathor Hassan Ibn Sadah
436,Abdul Hadda
437,Abdul Hassan
438,Abdul Kalat
439,Abdul Khil
440,Abdul Murok
441,Abdul the Arab
442,Abdul the Merchant
443,Abdul-Crim
444,Abdulla
445,Abdulla's pirates
446,Abdullah
447,Abdullah Ben Sourah
448,Abe Ape
449,Abe Dalton
450,Abe Gold
451,Abe Shark and his gang
452,Abel Doone
453,Abel Murdair
454,Abel Storme
455,Aber
456,Abercrombie McZombie
457,Abernathy
458,Abigail
459,Abigail 'Abbie Scrapple
460,Abigail Brown
461,Abigail Hawkins
462,Abigail Keating
463,Abigail Mossbach
464,Abigail Prim
465,Abigail Smith
466,Abin
467,Abis
468,Abner
469,Abner Grabb
470,Abner Lowell
471,Abner Mason
472,Abner Oberon
473,Abner Pearson
474,Abner Thrisk
475,Aborotes
476,Abou Ben Ali
477,Abou Ben Ephraim
478,Abou Sabut
479,Abra
480,Abraham Lincoln
481,Absalom
482,Abu Adem's father
483,Abu Bekr
484,Abu Ben Rawhide
485,Abu El Khall
486,Abu Landhu
487,Abu Ll Kaf
488,Abu the Mystic
489,Abulbul
490,Ace
491,Ace Adams
492,Ace Barlow
493,Ace Brady
494,Ace Buckley
495,Ace Carter
496,Ace Carver
497,Ace Denton
498,Ace Diamond
499,Ace Drogan
500,Ace Fur drivers
501,Ace Hawks
502,Ace Mahoney
503,Ace Mason
504,Ace McCoy
505,Ace Morgan
506,Ace Mullins
507,Ace O'Doul
508,Ace Pollard
509,Ace Powers
510,Ace Rainger
511,Ace Reynolds
512,Ace Ruffo
513,Ace Scott
514,Ace Shardy
515,Ace Slocum
516,Ace Stalon
517,Ace Tyler
518,Ace of Blades
519,Ace of Spades
520,Ace of Spades Gang
521,Ace the Amazing boy
522,Ace-Deuce
523,Aces
524,Aces Dealer
525,Aces Doonan
526,Aces Jordan
527,Achelous
528,Achen of Judah
529,Achilles
530,Achmed
531,Achmed Bey
532,Achmed Pasha
533,Achmed the Beduin
534,Achmet
535,Acrimo
536,Acrobat
537,Acton
538,Actor
539,Ada
540,Ada White
541,Adam Adams
542,Adam Addams
543,Adam Anteas Jr.
544,Adam Frank
545,Adam Igorovich
546,Adam Lamb
547,Adam Leeds
548,Adam Oakey
549,Adam Scringe
550,Adam Shane
551,Adam Starr
552,Adam's gang
553,Adam's grandfather
554,Adams
555,Adams the Coroner
556,Adder
557,Adelbert Dribble
558,Adele
559,Adele Garrison
560,Adele Hendricks
561,Adele Hoppat
562,Adelina Juana Maria Patti
563,Adeline
564,Adelines father
565,Adjeb
566,Adm. August
567,Adm. Denny
568,Adm. Footsu
569,Adm. Nippo
570,Adm. Ostrophis
571,Adm. Rattner
572,Adm. Von Roeder
573,Admiral
574,Admiral Bilge
575,Admiral Blake
576,Admiral Cato
577,Admiral Chester W. Nimitz
578,Admiral Corby
579,Admiral Cross
580,Admiral Dewey
581,Admiral Dobura
582,Admiral Funston
583,Admiral Grant
584,Admiral Harold Stark
585,Admiral Hawkins
586,Admiral Jepson
587,Admiral Kamatoto
588,Admiral Kent
589,Admiral Leeds
590,Admiral Nodope
591,Admiral Numa
592,Admiral Perkins
593,Admiral Roeter
594,Admiral Seagoer
595,Admiral Shanso
596,Admiral Shozo
597,Admiral Sir James Dunwoodie
598,Admiral Swan
599,Admiral Thompson
600,Admiral Von Buntz
601,Admiral White
602,Admiral Worthy
