id,origin_issue_id,target_issue_id
1,391286,761531
2,54978,705884
4,942622,791549
19,256315,797122
21,230776,655214
22,273161,655221
24,230781,655251
47,360255,968755
48,360259,968755
49,360258,968755
50,360257,968755
51,360256,968755
52,360254,968755
53,327518,885769
54,327517,885769
55,327516,885769
56,327515,885769
57,592159,947019
58,407071,947019
59,407070,947019
60,407069,947019
66,30429,885775
67,30329,885775
68,30218,885775
69,30126,885775
70,296757,885775
71,277994,885775
72,277993,885775
73,815742,894178
74,808158,894178
75,799540,894178
76,794328,894178
77,784427,894178
78,799532,924969
79,793586,924969
80,796872,924969
81,794320,924969
82,787957,924969
83,808180,946808
84,799529,946808
95,407068,947020
96,383174,947020
97,373223,947020
98,368906,947020
99,29374,885773
100,791520,885773
101,791519,885773
102,791518,885773
103,791517,885773
104,240830,768383
105,96213,768383
106,96212,768383
107,63833,768383
108,63832,768383
109,36675,968757
110,36518,968757
111,36366,968757
112,36197,968757
116,88560,885771
117,172466,885771
118,172465,885771
119,172464,885771
120,172463,885771
121,899425,968231
122,901371,968231
123,893522,968231
124,888650,968231
125,894673,968231
126,885869,968231
127,879992,946655
128,885872,946655
129,879991,946655
130,876495,946655
131,883850,946655
132,892238,946655
143,113609,968756
144,113608,968756
145,113682,968756
146,113619,968756
147,113618,968756
148,113617,968756
149,558670,968756
150,113615,968756
151,113614,968756
152,113613,968756
153,113612,968756
154,113611,968756
155,113610,968756
160,537770,796090
164,537774,796091
165,537773,796091
166,537772,796091
167,537771,796091
199,876666,806639
200,876665,806639
201,876663,806639
202,968750,768671
206,669732,968225
213,901977,981523
214,902673,997831
217,940735,998470
218,933520,998470
219,924942,998470
220,906601,998470
221,906601,998470
222,901349,998470
223,894698,998470
225,922474,998662
226,916781,998662
227,802919,999173
229,802919,802920
230,802919,802918
231,903596,998632
233,930390,1008671
234,911626,1008671
235,904822,1008671
236,900439,1008671
237,892367,1008671
238,922469,1008181
239,906606,1008181
240,902711,1008181
241,898425,1008181
242,888665,1008181
243,859416,1008679
246,790066,1008674
247,783366,1008674
248,781311,1008674
249,790066,1008674
250,758128,1008673
251,752279,1008673
252,744698,1008673
253,744698,1008673
254,112200,860169
255,248960,381562
256,892341,968163
257,893482,968163
258,893483,968163
259,894641,968163
260,883773,968162
261,885823,968162
262,885824,968162
263,887121,968162
268,898441,976699
269,892347,976699
270,894648,976699
271,893488,976699
272,883778,968177
273,888600,968177
274,887135,968177
275,885835,968177
276,906578,1013001
277,900515,968466
280,36123,1012524
282,807218,979503
283,794326,979503
284,799386,789691
285,767732,394167
286,852230,394206
287,672080,953994
288,799385,789691
293,767733,394167
294,767734,394167
295,306657,394174
296,742756,394179
297,742757,394179
298,767436,803369
299,767436,394181
300,767437,803369
301,767437,394181
302,767438,803369
