id,name,country_id,year_began,year_ended,notes,url
1,Roberts Brothers Boston,225,1867,NULL,NULL,NULL
2,Sampson Low Son and Marston Milton House; Leighton Bros.,75,1868,1953,NULL,NULL
3,C.A. Jackson & Co.; Donaldson Brothers,225,1870,NULL,NULL,NULL
4,Chatto & Windus,225,1870,NULL,NULL,NULL
5,Mr. John Rickaby; Strobridge Lith Co,225,1870,NULL,NULL,NULL
6,Rising Sun Stove Polish; Donaldson Brothers,225,1870,NULL,NULL,NULL
8,D. Appleton & Co.,225,1831,1973,NULL,NULL
9,Arm & Hammer Brand,225,1880,NULL,NULL,NULL
10,R. Worthington,225,1880,NULL,NULL,NULL
11,Geo. M. Hayes; Bradley & Alling Printers,225,1882,NULL,NULL,NULL
12,Robert Brothers; University Press: John Wilson and Son,225,1883,NULL,NULL,NULL
13,Geo. M. Hayes,225,1883,NULL,NULL,NULL
14,Hiscox & Co.; Giles Lith. Co.,225,1886,NULL,NULL,NULL
15,Paquet & Co.,225,1888,NULL,NULL,NULL
16,Keppler & Schwarzmann; Press of Puck,225,1889,NULL,NULL,NULL
17,Frederick Warne & Co.,75,1865,NULL,The company was founded in 1865 by a bookseller turned publisher who gave his own name to the firm. The new venture replaced an earlier association between Warne and George Routledge who also went on to found his own publishing company.In 1983 Frederick Warne was acquired by Penguin Books.,http://www.penguin.com/meet/publishers/frederickwarne/
18,Howard Ainslee & Co.,225,1897,NULL,NULL,NULL
19,Frederick A. Stokes,225,1898,NULL,NULL,NULL
20,McCormick Press,225,1900,NULL,NULL,NULL
21,Ringen Stove Co.; Kaufmann & Strauss Co.,225,1900,NULL,NULL,NULL
22,A.C. McClurg & Co.,225,1903,NULL,NULL,NULL
23,The Graphic,75,1903,NULL,"The Graphic Office 190 Strand London W.CAddress from cover of ""A Phil May Medley""",NULL
24,Brown Shoe Co.,225,1904,NULL,NULL,NULL
25,Buster Brown Stocking Company,225,1904,NULL,NULL,NULL
26,Pond's Extract Co.,225,1904,NULL,NULL,NULL
27,Star Publications,225,1949,1954,Star published a line of coloring books in comic book format (The Star Coloring Book of...) but they consist of full-page drawings with no word balloons and no narrative so they do not qualify for inclusion in the database (August 2008).,NULL
28,Nox'Em All Shoes; Kaufmann & Strauss Co.,225,1906,NULL,NULL,NULL
29,"T. Hersom & Co.'s ""Best"" Soap and Italian Sapone; Kaufmann & Strauss Co.",225,1906,NULL,NULL,NULL
30,Thompson & Thomas,225,1906,NULL,NULL,NULL
31,Cupples & Leon,225,1902,1956,Cupples & Leon was founded in 1902 by Victor I. Cupples (1864-1941) and Arthur T. Leon (1867-1943). They left the comic strip reprint field in 1934.The Platt & Munk publishing firm acquired Cupples & Leon in 1956.,NULL
32,M. A. Donohue & Co.,225,1908,NULL,NULL,NULL
33,W. R. Allman,225,1910,NULL,NULL,NULL
34,Lowman & Hanford Co.,225,1911,NULL,NULL,NULL
35,Ball Publishing,225,1910,NULL,NULL,NULL
36,Kellogg Toasted Cornflake Co.,225,1912,NULL,NULL,NULL
37,P. F. Volland Company,225,1919,NULL,NULL,NULL
38,Stars and Stripes,225,1919,NULL,NULL,NULL
39,Hotel Rueger; Dietz Printing,225,1920,NULL,NULL,NULL
40,Old Gold Cigarettes,225,1927,NULL,NULL,NULL
41,Unknown publisher (Unknown Country),249,NULL,NULL,Intended to be used for books that contain no information at all about the publisher or creator or country of origin.,NULL
42,The Century Co,225,1924,NULL,NULL,NULL
43,Doubleday,225,1897,1988,Founded in 1897 as Doubleday & McClure Company Doubleday encompasses many publisher names and imprints.  In 1900 the company became Doubleday Page & Company; in 1927 Doubleday merged with George H. Doran Company creating Doubleday Doran; the business became known as Doubleday & Company in 1946.Anchor Books was launched as a paperback imprint in 1953 and Image was added as a line of religious trade paperbacks soon after. Doubleday was sold to Bertelsmann AG a Germany-based worldwide communications company in 1986. In 1988 it became part of the Bantam Doubleday Dell Publishing Group ,http://www.randomhouse.com/doubleday/history/
44,Southwest Press,225,1928,NULL,NULL,NULL
45,Association Against the Prohibition Amendment,225,1930,NULL,NULL,NULL
46,Editions du Petit Vingtième,20,1930,NULL,NULL,NULL
47,Jos. J. Frisch,225,1931,NULL,NULL,NULL
49,Democratic National Committee,225,1932,NULL,NULL,NULL
50,Charlton,225,1933,1995,Charlton began in 1933 with Hit Parader magazine publishing song lyrics. Charlton Comics published comics from 1944 - 1987. The last of the magazines were published in the mid-1990s.,NULL
51,Eastern Color,225,1933,1956,NULL,NULL
52,Casterman,20,1934,NULL,NULL,http://www.casterman.com/
